L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.68268865,0.45996454,0.61331886,0.49056914,0.47027647,0.500321,0.5526647,0.47526884,0.77511656,0.5705096,0.43007782,0.25224426
0.65414906,0.42032632,0.62664413,0.4699973,0.5238653,0.5449261,0.5894095,0.40551636,0.75207037,0.64929676,0.42735454,0.32724616
0.6722228,0.38441542,0.6138777,0.46570328,0.56355274,0.5833946,0.65519285,0.35415003,0.72338843,0.72685015,0.40902746,0.35143706
0.58462596,0.39734194,0.6107113,0.44453526,0.5963983,0.5504723,0.6892976,0.3564161,0.566208,0.73202455,0.44305372,0.33464345
0.5109754,0.38650542,0.65428853,0.40624687,0.63025594,0.53624016,0.68731016,0.34392822,0.47688338,0.6660235,0.49607027,0.3130105
0.60790163,0.28072426,0.64224476,0.4237296,0.6232659,0.5343724,0.6148167,0.36160997,0.40134907,0.53954536,0.5680652,0.30083
0.61195964,0.26518127,0.57098716,0.4709052,0.5631299,0.45132676,0.496356,0.3905442,0.4013356,0.42633465,0.60302186,0.35250905
0.51460356,0.30408952,0.6506145,0.42596522,0.57107615,0.37360442,0.40471783,0.4709633,0.37643498,0.29323485,0.5726742,0.47420368
0.52415854,0.23826474,0.6228665,0.49627694,0.60640055,0.42757094,0.38182753,0.56141096,0.46057466,0.18674584,0.4707847,0.60921717
0.49667376,0.19928068,0.553191,0.60699445,0.5847902,0.46229067,0.41791722,0.6035452,0.55272967,0.16491526,0.4156499,0.69971114
0.42885196,0.26836908,0.5877438,0.6033387,0.54161114,0.4648015,0.49771625,0.5843322,0.61380935,0.19731979,0.411959,0.76635957
0.37388498,0.33270147,0.57317036,0.6077082,0.5601011,0.43259057,0.59951204,0.6149189,0.64860684,0.24260908,0.44172734,0.80927354
0.31711033,0.3897181,0.49476746,0.59210545,0.543483,0.42893562,0.6830896,0.703968,0.67795914,0.27480552,0.5005678,0.8263538
0.3452073,0.48749855,0.45971614,0.55243737,0.4625138,0.43564337,0.7193585,0.7883281,0.70221454,0.28648847,0.5542388,0.82626325
0.40229848,0.60636705,0.36454278,0.5080825,0.37672976,0.4200954,0.7104998,0.8328944,0.71388966,0.30107307,0.5598436,0.8008761
0.45333627,0.7114785,0.30135587,0.48781356,0.2887488,0.39347517,0.6963491,0.8417179,0.7320192,0.2973982,0.5278235,0.7667251
0.49761713,0.767588,0.28504467,0.49904224,0.24858497,0.43537295,0.6849265,0.8355961,0.73667413,0.29507306,0.44926462,0.7382151
0.56826735,0.7725389,0.25937602,0.54821545,0.2492972,0.5152951,0.68286467,0.8285961,0.7441526,0.29116365,0.35962752,0.7296199
0.5827973,0.7863643,0.28176498,0.5726567,0.2625051,0.5692087,0.6924387,0.82693386,0.7420492,0.29076663,0.28376114,0.73300266
0.56200546,0.7789803,0.3704631,0.565367,0.3051678,0.60509056,0.70856124,0.81095403,0.76458746,0.2786194,0.24197115,0.7376023
