L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.22191897,0.22482014,0.29126072,0.7395846,0.29876065,0.92245406,0.7035144,0.26672718,0.24245223,0.72639954,0.79477,0.06352863
0.33588094,0.18914393,0.2938558,0.6970637,0.31545985,0.89622074,0.5907682,0.37024665,0.2740333,0.69246715,0.7452444,0.084784664
0.4097234,0.19505411,0.3231771,0.68393666,0.33387262,0.8614912,0.5069055,0.46384996,0.34580392,0.6435046,0.6998356,0.11251481
0.49116415,0.21235672,0.36618215,0.65410864,0.32968277,0.8254179,0.42957252,0.52353364,0.44034874,0.5958092,0.65668064,0.1573702
0.54169554,0.25093406,0.42859188,0.64182496,0.34670907,0.77924657,0.38531947,0.5596112,0.502008,0.55229783,0.58805895,0.2045738
0.5792065,0.28874272,0.4567063,0.6061808,0.3864069,0.7391044,0.40287688,0.5317993,0.5765331,0.53821933,0.51341724,0.24855894
0.61843944,0.35830998,0.46564862,0.56020397,0.4239249,0.6899631,0.37463066,0.43448117,0.6040439,0.534208,0.480641,0.30519217
0.70185363,0.41698045,0.4664094,0.4949119,0.44993657,0.6375538,0.35152104,0.40865248,0.62109303,0.5288825,0.48839504,0.36668682
0.7540953,0.46881965,0.5079284,0.43001425,0.46414012,0.5650145,0.28325465,0.47519618,0.62442935,0.5199094,0.5065472,0.43901166
0.76921356,0.49831802,0.58915305,0.39213103,0.5069449,0.4804644,0.27497593,0.52299213,0.5994065,0.4682997,0.5015826,0.51686776
0.7098184,0.5620737,0.5747075,0.36917353,0.5802229,0.40654,0.2879967,0.58644104,0.5653915,0.4225667,0.46635836,0.5928016
0.6350887,0.65547067,0.6627116,0.34260184,0.6157761,0.3441227,0.33086425,0.5713831,0.5704144,0.36717844,0.40408418,0.6613235
0.55295014,0.696134,0.6634784,0.31277525,0.6176646,0.28388658,0.3826592,0.5303911,0.6105154,0.33121082,0.34156442,0.7205728
0.5003368,0.7663904,0.6845492,0.2816315,0.61420226,0.23587102,0.44789118,0.4898963,0.59779817,0.34441513,0.307164,0.7709338
0.48053086,0.7938013,0.6399068,0.26156858,0.6266029,0.19659561,0.497661,0.5141491,0.59510773,0.37261146,0.28457975,0.8163486
0.46425784,0.77647257,0.61786383,0.25818437,0.65451705,0.1661669,0.53608096,0.54482436,0.60699654,0.36773303,0.27281803,0.8626555
0.4480244,0.77028674,0.5800468,0.2751851,0.699726,0.1323519,0.5935715,0.55588436,0.60288507,0.34519914,0.24437007,0.90765536
0.4012596,0.7890421,0.55124354,0.30892375,0.7348061,0.10282348,0.655657,0.5256625,0.5850718,0.31833196,0.2148942,0.94120634
0.35151398,0.80377996,0.48838595,0.3447206,0.75750995,0.077255554,0.736215,0.50291085,0.5828177,0.2970314,0.18948495,0.958605
0.28367496,0.80709636,0.5246969,0.3713698,0.7792791,0.057645813,0.8007471,0.49874613,0.52836615,0.2931153,0.17187406,0.9733379
