L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.87198555,0.7926098,0.54838383,0.27650332,0.29366058,0.93033445,0.04185029,0.84558856,0.8103517,0.04586745,0.63819945,0.045640677
0.90103287,0.57605636,0.6934418,0.2402948,0.3145026,0.62285936,0.20808771,0.7030947,0.9663304,0.23792589,0.60486174,0.14374344
0.8293893,0.48678547,0.7825291,0.37004694,0.39100397,0.43510094,0.25327313,0.8586743,0.80458987,0.46429548,0.6571977,0.36953828
0.7603312,0.3650831,0.6510227,0.4092675,0.49713507,0.49895796,0.2241942,0.68491435,0.7514045,0.59483963,0.58123434,0.5789488
0.6834946,0.4655213,0.5691526,0.44092357,0.5286747,0.45908654,0.19533615,0.59747714,0.70046896,0.6563268,0.41001862,0.7199174
0.56791794,0.5727929,0.5887618,0.49369636,0.55005234,0.3550922,0.25672552,0.5525329,0.64708716,0.67867386,0.2804501,0.7998892
0.47759083,0.6888119,0.6931444,0.5205505,0.5705209,0.31204265,0.36390477,0.52547485,0.59429294,0.7172911,0.18368281,0.8534913
0.45061976,0.7442734,0.54832506,0.5576035,0.5878979,0.27841124,0.4499635,0.5037911,0.5582722,0.7774663,0.1481928,0.90384686
0.3797146,0.6309995,0.50539654,0.57179594,0.5944905,0.30915326,0.51128256,0.4151174,0.4977246,0.83773744,0.17395914,0.95312726
0.35154414,0.5592238,0.52346504,0.6017842,0.549212,0.30567333,0.54449856,0.32164168,0.42968026,0.867245,0.2108646,0.9748125
0.28668514,0.40581363,0.4704067,0.6311369,0.46226883,0.27660522,0.59666437,0.1974037,0.39503872,0.8614422,0.2350251,0.96359295
0.25450936,0.33014432,0.516874,0.6596456,0.4661876,0.28745627,0.6497117,0.13674866,0.3614533,0.8406703,0.25726056,0.94778824
0.27331436,0.2188195,0.3556965,0.661533,0.46662813,0.3059103,0.721442,0.11384021,0.29378396,0.793743,0.28456187,0.9351773
0.21226665,0.20965745,0.3010312,0.688394,0.49697462,0.30370522,0.7838682,0.1024812,0.23011044,0.7228778,0.32108676,0.9068161
0.1638578,0.26353997,0.39415824,0.72365415,0.61745584,0.28425863,0.8504809,0.08345113,0.16580263,0.6541985,0.39177385,0.84834856
0.13888398,0.32367006,0.3119884,0.7302786,0.67275417,0.35267413,0.9083951,0.06631058,0.112236395,0.581058,0.49883014,0.77692854
0.11097108,0.49289817,0.3767023,0.72616917,0.66114044,0.42973888,0.9402931,0.056291442,0.10500658,0.5273045,0.6267465,0.69559675
0.10294579,0.5165622,0.39197788,0.70904315,0.5891659,0.44635597,0.9580655,0.05318844,0.06324484,0.48325497,0.74930954,0.6142646
0.1103489,0.5790845,0.31793916,0.6831322,0.47824183,0.4684726,0.95418286,0.07110245,0.01897122,0.41207376,0.8495927,0.5238761
0.16954589,0.5969081,0.22954677,0.6442914,0.40049237,0.48054463,0.9563426,0.07685838,0.0,0.3365633,0.9144757,0.43625268
