L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.7158615,0.67845356,0.743445,0.20648596,0.54864913,0.77692324,0.4070861,0.5671868,0.48164153,0.073873565,0.4571494,0.96211135
0.677836,0.6760255,0.6932091,0.22583409,0.52783614,0.74944586,0.5288089,0.42632708,0.534048,0.061775006,0.34859833,0.9327422
0.6300208,0.6742153,0.6842319,0.25907472,0.5405956,0.7122042,0.6515159,0.28304496,0.5929761,0.08902466,0.3504229,0.8932765
0.55860835,0.66842055,0.6688575,0.30006042,0.5754995,0.6599863,0.7384829,0.19007339,0.64492977,0.1495857,0.4335654,0.853547
0.480863,0.6536043,0.63077503,0.34701523,0.62194276,0.6089562,0.78300184,0.15664256,0.6585388,0.23407888,0.54400694,0.8047169
0.40756765,0.6393016,0.61978316,0.39152688,0.6567485,0.56309783,0.80128276,0.15796804,0.6455304,0.32593945,0.6235449,0.73888636
0.35005227,0.6501427,0.564697,0.42262182,0.69459856,0.5131596,0.8105805,0.16597562,0.6065402,0.41261458,0.65402526,0.6566676
0.30743802,0.6433942,0.52641594,0.43616077,0.7247328,0.46177065,0.81704605,0.16317093,0.56598943,0.48861226,0.6380301,0.56374884
0.27293023,0.62843513,0.45625618,0.46297604,0.7241242,0.4102173,0.8211394,0.16025665,0.5239254,0.5525351,0.60374326,0.46894273
0.24156661,0.5903063,0.4075697,0.47669998,0.6780494,0.36420608,0.8174629,0.161844,0.4834296,0.61000186,0.5672166,0.3757997
0.25419,0.5460874,0.37148434,0.5009907,0.6013958,0.33006316,0.8012117,0.18127643,0.44414762,0.66207016,0.5409751,0.28831756
0.2940813,0.50560284,0.32703426,0.5271363,0.52503526,0.2992325,0.76790655,0.21798173,0.41687733,0.7099975,0.5305651,0.20724764
0.34508637,0.45764616,0.28347674,0.5543416,0.45665526,0.28012425,0.71202224,0.26802868,0.40610817,0.7527559,0.5289263,0.1407222
0.39970398,0.42326403,0.2824526,0.6090776,0.40952593,0.26714635,0.62779444,0.3305983,0.40866238,0.79269856,0.5351,0.09776467
0.4390912,0.40105167,0.27865568,0.6665067,0.38180584,0.26160637,0.5172589,0.410479,0.39919448,0.8289095,0.55385303,0.0821538
0.45883733,0.3698261,0.27596712,0.7233987,0.36884764,0.27045405,0.4115143,0.5002221,0.3619719,0.84748334,0.5630292,0.10271223
0.4862527,0.36050728,0.30569294,0.76974356,0.3538091,0.2955868,0.30489668,0.6042492,0.35345456,0.8555736,0.5640249,0.15787192
0.5121738,0.34337455,0.3257175,0.8015384,0.33513227,0.32863384,0.22492726,0.70402193,0.32991743,0.8515708,0.5733711,0.24220209
0.55795425,0.300904,0.3582904,0.81268424,0.31052113,0.37634337,0.18402809,0.7881714,0.338566,0.8385276,0.5646779,0.3410529
0.6247501,0.26246145,0.3839568,0.79874337,0.26638427,0.4319015,0.22342691,0.78038955,0.45229134,0.82393146,0.529006,0.43993253
