L_imu_ax,L_imu_ay,L_imu_az,L_imu_gx,L_imu_gy,L_imu_gz,R_imu_ax,R_imu_ay,R_imu_az,R_imu_gx,R_imu_gy,R_imu_gz
0.5584293,0.5580607,0.62397337,0.6605631,0.6047681,0.581044,0.30182713,0.6379838,0.4386321,0.7399169,0.410638,0.9257271
0.53550315,0.6589742,0.63267416,0.638577,0.5412679,0.6487922,0.35881877,0.6416759,0.48928657,0.68333626,0.37315086,0.8677514
0.53290766,0.66521484,0.6490677,0.6400613,0.5173462,0.7136967,0.42828184,0.5914552,0.5340189,0.63199615,0.3325506,0.8176375
0.5279595,0.6669692,0.6528002,0.65184414,0.5425405,0.7655042,0.52052623,0.50916344,0.56074387,0.6072276,0.30828318,0.7728024
0.5110738,0.65430975,0.6295057,0.65742844,0.60544986,0.7921585,0.6095876,0.4038005,0.5453501,0.6157989,0.32012784,0.7270425
0.48445898,0.63484895,0.59381783,0.6348077,0.6452222,0.7879053,0.6889441,0.30674136,0.47975427,0.64450073,0.37430096,0.67812
0.46518037,0.63698727,0.53932196,0.59053415,0.6553072,0.76064444,0.7501302,0.23360687,0.40363726,0.6751604,0.4576691,0.6234071
0.47238407,0.64292705,0.46614948,0.5053248,0.6280712,0.7127341,0.77653944,0.20356648,0.32542667,0.6949742,0.5491696,0.5686255
0.50168264,0.6240909,0.42781648,0.40903166,0.5685182,0.6531748,0.76292616,0.20026623,0.24246804,0.68712807,0.61449647,0.5193815
0.5297233,0.60495627,0.3993152,0.3354636,0.5075383,0.58207476,0.72094923,0.21566376,0.18011256,0.6516535,0.63758624,0.47406918
0.5521056,0.5808762,0.3888926,0.2914858,0.46816787,0.5135025,0.6664874,0.23444559,0.15388045,0.57857525,0.60248375,0.42686045
0.5533152,0.57536423,0.39130756,0.27443668,0.4635872,0.4446657,0.61400074,0.25740665,0.1614841,0.47968736,0.5214162,0.37671205
0.517087,0.58347034,0.3865187,0.2692264,0.4741046,0.38331994,0.57703954,0.27383402,0.19998522,0.36846772,0.42731398,0.3234271
0.49416,0.57760847,0.40035865,0.27819577,0.48041946,0.3206849,0.55563533,0.28561804,0.26663423,0.2691161,0.3521659,0.2714865
0.45912772,0.5476318,0.40521517,0.29224786,0.46929345,0.26680645,0.5341592,0.30576417,0.34670335,0.20886269,0.315079,0.2257699
0.4211822,0.4953123,0.41916496,0.30931115,0.44235158,0.23157653,0.5083267,0.35753787,0.42430258,0.19305216,0.3243932,0.18937787
0.41435403,0.43373984,0.43922332,0.33108658,0.39711827,0.21928449,0.46108538,0.41867414,0.50693977,0.22141275,0.3756895,0.16447929
0.4490573,0.3495117,0.4567236,0.35137272,0.34275642,0.22434722,0.37753135,0.5306835,0.60025597,0.29670647,0.45587698,0.15551108
0.48065642,0.2646715,0.47348365,0.3939033,0.3051992,0.23699956,0.27916822,0.6607005,0.6666694,0.3966828,0.5538425,0.15640445
0.5319193,0.19144952,0.4635049,0.45603094,0.28120825,0.2629116,0.20189928,0.79185796,0.68959224,0.49750364,0.6746847,0.15600766
