timestamp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
1538104402.42,-0.3393999999999995,-0.12150000000000005,0.1652250000000004,-0.13735000000000008,-3.60105,7.12585
1538104402.43,-0.22099000000000046,-0.09526000000000001,0.1527700000000003,0.012219999999999898,-4.08938,8.36182
1538104402.44,-0.07005000000000017,-0.18975000000000003,0.12029999999999985,0.5646,-3.219575,9.50625
1538104402.45,0.0002099999999991553,-0.28248,0.1077300000000001,0.7934999999999999,-1.78224,10.449240000000001
1538104402.46,0.15440000000000076,-0.345375,0.023950000000000138,0.8697250000000003,0.015225000000000044,10.94055
1538104402.47,0.2784300000000002,-0.2868,-0.16855000000000064,0.2197600000000004,0.50048,10.74218
1538104402.48,0.4207750000000008,-0.19515,-0.19392500000000013,-1.037575,0.3051750000000002,10.330225
1538104402.49,0.7017100000000003,-0.24326000000000003,-0.14458999999999955,-1.62352,-0.048819999999999864,9.75342
1538104402.5,0.9511000000000003,-0.3298,-0.18197499999999955,-2.13625,-0.015274999999999928,9.0637
1538104402.51,1.0368899999999996,-0.44292,-0.056989999999999874,-2.7832,1.61132,8.23976
1538104402.52,1.0510500000000018,-0.571,-0.0490999999999997,-3.204325,3.79945,7.217425
1538104402.53,0.8980300000000003,-0.5784199999999999,0.043070000000000164,-3.5522,5.87162,5.11474
1538104402.54,0.5805749999999996,-0.46624999999999994,0.10237499999999988,-3.906225,6.851225,2.9449750000000003
1538104402.55,0.3042499999999997,-0.3208,0.18342999999999998,-4.3334600000000005,6.249980000000001,1.1963200000000003
1538104402.56,0.15633000000000052,-0.26143999999999995,0.27535,-3.78418,5.5785800000000005,0.3418000000000003
1538104402.57,0.13344999999999985,-0.026349999999999985,0.19572500000000037,-4.1809,4.974349999999999,-0.3051499999999998
1538104402.58,-0.015600000000000946,-0.007774999999999976,0.4243999999999999,-4.5166,3.5553,-0.7629499999999996
1538104402.59,-0.023249999999999105,-0.03395999999999988,0.50901,-3.3325,3.5766600000000004,-1.2329199999999996
1538104402.6,-0.026949999999999363,-0.05084999999999995,0.4692750000000001,-2.639775,4.684475,-1.38855
1538104402.61,-0.0955099999999991,-0.09958,0.4798100000000005,-2.31934,6.0791200000000005,-1.77006
