timestamp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
1538104454.13,-0.6054899999999996,1.5102600000000006,2.2308999999999997,-10.31492,-0.9521000000000001,-63.53146000000001
1538104454.14,-0.49343000000000004,1.67788,2.50434,-8.1787,-2.49022,-59.442159999999994
1538104454.15,-0.48194999999999943,1.6544000000000008,2.7169200000000004,-4.748539999999999,-0.8666799999999999,-53.802479999999996
1538104454.16,-0.8816500000000005,1.6585999999999999,3.0112750000000004,-0.8850000000000002,0.9460499999999997,-47.4243
1538104454.17,-1.350530000000001,1.74728,3.1115200000000005,2.09958,1.73338,-40.460159999999995
1538104454.18,-1.7407899999999987,1.8282000000000007,3.0684000000000005,4.821759999999999,-0.21968000000000004,-33.66087999999999
1538104454.19,-2.16699,2.04078,2.9501399999999993,8.117639999999998,-2.0385799999999996,-26.336640000000003
1538104454.2,-2.4433000000000007,2.144024999999999,2.9544500000000005,11.41355,-2.22775,-18.98195
1538104454.21,-2.571109999999999,2.1739200000000007,2.94726,14.135740000000002,-3.8573800000000005,-11.968980000000002
1538104454.22,-2.5969700000000007,2.0906399999999996,2.8758999999999997,16.91892,-8.94774,-2.0934999999999997
1538104454.23,-2.5402000000000005,1.9524999999999997,2.7234000000000003,17.79175,-16.0217,7.69045
1538104454.24,-2.217269999999999,1.8018799999999988,2.69876,18.261740000000003,-21.41112,16.082780000000003
1538104454.25,-1.5196100000000001,1.6175199999999998,2.5005399999999995,18.4326,-26.550239999999995,24.56666
1538104454.26,-0.8568500000000014,1.4767400000000004,2.2409399999999997,18.823259999999998,-30.554180000000002,32.55004
1538104454.27,-0.4297500000000003,1.2378,2.14045,19.89745,-31.555149999999998,40.4358
1538104454.28,-0.29806999999999917,1.0572600000000003,1.9618000000000002,20.910619999999998,-31.89696,48.17506
1538104454.29,-0.26272499999999965,0.8439249999999996,1.7471999999999999,21.453850000000003,-32.19605,54.382349999999995
1538104454.3,-0.16113,0.7733199999999991,1.5720199999999998,21.130360000000003,-34.521480000000004,59.07596
1538104454.31,0.136709999999999,0.6627200000000011,1.5002199999999997,19.16502,-41.38184,63.653580000000005
1538104454.32,0.63985,0.5704500000000001,1.5011999999999999,17.334000000000003,-46.3867,65.5823
